timestamp,cme_cpa_deg,cme_width_deg,cme_speed_km_s,is_halo
2019-12-09 13:25:41+00:00,276.0,38.0,58.0,False
2019-12-09 18:12:05+00:00,272.0,57.0,159.0,False
2019-12-09 18:24:05+00:00,96.0,17.0,259.0,False
2019-12-09 19:06:49+00:00,274.0,16.0,166.0,False
2019-12-10 13:25:42+00:00,107.0,59.0,103.0,False
2019-12-11 17:48:05+00:00,98.0,50.0,119.0,False
2019-12-13 02:24:06+00:00,329.0,10.0,384.0,False
2019-12-13 22:00:05+00:00,93.0,15.0,165.0,False
2019-12-15 00:12:05+00:00,279.0,15.0,171.0,False
2019-12-15 08:48:05+00:00,158.0,12.0,475.0,False
2019-12-15 10:24:05+00:00,274.0,9.0,208.0,False
2019-12-15 19:48:05+00:00,277.0,16.0,219.0,False
2019-12-16 06:36:05+00:00,306.0,7.0,406.0,False
2019-12-16 10:48:05+00:00,347.0,4.0,609.0,False
2019-12-17 21:36:05+00:00,271.0,53.0,176.0,False
2019-12-19 13:25:40+00:00,293.0,8.0,404.0,False
2019-12-19 23:12:10+00:00,231.0,5.0,291.0,False
2019-12-21 15:48:05+00:00,260.0,7.0,289.0,False
2019-12-22 20:12:05+00:00,221.0,7.0,118.0,False
2019-12-23 02:36:05+00:00,253.0,32.0,290.0,False
2019-12-23 15:48:05+00:00,358.0,7.0,592.0,False
2019-12-24 04:24:05+00:00,269.0,57.0,222.0,False
2019-12-24 13:25:42+00:00,0.0,8.0,565.0,False
2019-12-25 09:24:05+00:00,261.0,49.0,291.0,False
2019-12-26 01:48:05+00:00,206.0,9.0,335.0,False
2019-12-26 04:36:07+00:00,177.0,7.0,326.0,False
2019-12-26 05:12:05+00:00,86.0,58.0,154.0,False
2019-12-26 15:12:11+00:00,103.0,17.0,246.0,False
2019-12-27 01:36:15+00:00,243.0,11.0,273.0,False
2019-12-27 03:24:05+00:00,290.0,21.0,437.0,False
2019-12-27 03:47:14+00:00,170.0,8.0,629.0,False
2019-12-27 04:49:40+00:00,272.0,46.0,449.0,False
2019-12-30 01:25:40+00:00,265.0,39.0,56.0,False
2019-12-30 03:12:09+00:00,243.0,83.0,103.0,False
2019-12-31 06:00:05+00:00,260.0,16.0,174.0,False
2019-12-31 21:36:07+00:00,107.0,16.0,69.0,False
2020-01-01 01:25:40+00:00,107.0,17.0,136.0,False
2020-01-01 09:12:09+00:00,113.0,59.0,214.0,False
2020-01-02 12:36:05+00:00,1.0,9.0,379.0,False
2020-01-03 06:24:07+00:00,250.0,10.0,173.0,False
2020-01-03 08:24:05+00:00,168.0,4.0,444.0,False
2020-01-03 08:48:25+00:00,83.0,40.0,226.0,False
2020-01-05 07:48:05+00:00,270.0,42.0,110.0,False
2020-01-05 15:27:03+00:00,75.0,58.0,136.0,False
2020-01-06 00:48:05+00:00,86.0,86.0,160.0,False
2020-01-07 02:48:05+00:00,205.0,7.0,495.0,False
2020-01-07 05:24:06+00:00,278.0,58.0,89.0,False
2020-01-08 04:12:05+00:00,283.0,17.0,208.0,False
2020-01-08 11:12:05+00:00,278.0,7.0,149.0,False
2020-01-08 21:36:05+00:00,97.0,34.0,209.0,False
2020-01-09 00:12:05+00:00,279.0,23.0,92.0,False
2020-01-09 05:48:34+00:00,97.0,27.0,145.0,False
2020-01-10 18:12:05+00:00,292.0,38.0,249.0,False
2020-01-11 12:48:05+00:00,286.0,22.0,104.0,False
2020-01-11 18:12:05+00:00,123.0,7.0,159.0,False
2020-01-12 08:00:06+00:00,103.0,46.0,50.0,False
